"","date","region","country","cases"
"316","2020-11-11","Northern Africa","Algeria",811
"317","2020-11-12","Northern Africa","Algeria",851
"318","2020-11-13","Northern Africa","Algeria",867
"319","2020-11-14","Northern Africa","Algeria",844
"320","2020-11-15","Northern Africa","Algeria",860
"321","2020-11-16","Northern Africa","Algeria",910
"322","2020-11-17","Northern Africa","Algeria",1002
"323","2020-11-18","Northern Africa","Algeria",1038
"324","2020-11-19","Northern Africa","Algeria",1023
"325","2020-11-20","Northern Africa","Algeria",1103
"326","2020-11-21","Northern Africa","Algeria",1019
"327","2020-11-22","Northern Africa","Algeria",1088
"328","2020-11-23","Northern Africa","Algeria",1005
"329","2020-11-24","Northern Africa","Algeria",1133
"330","2020-11-25","Northern Africa","Algeria",1025
"331","2020-11-26","Northern Africa","Algeria",1085
"332","2020-11-27","Northern Africa","Algeria",1058
"333","2020-11-28","Northern Africa","Algeria",1044
"334","2020-11-29","Northern Africa","Algeria",1009
"335","2020-11-30","Northern Africa","Algeria",978
"336","2020-12-01","Northern Africa","Algeria",953
"337","2020-12-02","Northern Africa","Algeria",932
"338","2020-12-03","Northern Africa","Algeria",843
"339","2020-12-04","Northern Africa","Algeria",803
"340","2020-12-05","Northern Africa","Algeria",772
"341","2020-12-06","Northern Africa","Algeria",750
"342","2020-12-07","Northern Africa","Algeria",573
"343","2020-12-08","Northern Africa","Algeria",591
"344","2020-12-09","Northern Africa","Algeria",598
"345","2020-12-10","Northern Africa","Algeria",565
"346","2020-12-11","Northern Africa","Algeria",542
"347","2020-12-12","Northern Africa","Algeria",517
"348","2020-12-13","Northern Africa","Algeria",464
"349","2020-12-14","Northern Africa","Algeria",495
"350","2020-12-15","Northern Africa","Algeria",468
"351","2020-12-16","Northern Africa","Algeria",442
"352","2020-12-17","Northern Africa","Algeria",426
"353","2020-12-18","Northern Africa","Algeria",438
"354","2020-12-19","Northern Africa","Algeria",410
"355","2020-12-20","Northern Africa","Algeria",422
"356","2020-12-21","Northern Africa","Algeria",456
"357","2020-12-22","Northern Africa","Algeria",410
"358","2020-12-23","Northern Africa","Algeria",480
"359","2020-12-24","Northern Africa","Algeria",458
"360","2020-12-25","Northern Africa","Algeria",434
"361","2020-12-26","Northern Africa","Algeria",416
"362","2020-12-27","Northern Africa","Algeria",392
"363","2020-12-28","Northern Africa","Algeria",382
"364","2020-12-29","Northern Africa","Algeria",357
"365","2020-12-30","Northern Africa","Algeria",323
"366","2020-12-31","Northern Africa","Algeria",299
"367","2021-01-01","Northern Africa","Algeria",287
"368","2021-01-02","Northern Africa","Algeria",262
"369","2021-01-03","Northern Africa","Algeria",249
"370","2021-01-04","Northern Africa","Algeria",237
"371","2021-01-05","Northern Africa","Algeria",228
"372","2021-01-06","Northern Africa","Algeria",247
"373","2021-01-07","Northern Africa","Algeria",262
"374","2021-01-08","Northern Africa","Algeria",275
"375","2021-01-09","Northern Africa","Algeria",256
"376","2021-01-10","Northern Africa","Algeria",231
"377","2021-01-11","Northern Africa","Algeria",225
"378","2021-01-12","Northern Africa","Algeria",272
"379","2021-01-13","Northern Africa","Algeria",219
"380","2021-01-14","Northern Africa","Algeria",267
"381","2021-01-15","Northern Africa","Algeria",254
"382","2021-01-16","Northern Africa","Algeria",230
"383","2021-01-17","Northern Africa","Algeria",222
"384","2021-01-18","Northern Africa","Algeria",259
"385","2021-01-19","Northern Africa","Algeria",249
"386","2021-01-20","Northern Africa","Algeria",265
"387","2021-01-21","Northern Africa","Algeria",246
"388","2021-01-22","Northern Africa","Algeria",272
"389","2021-01-23","Northern Africa","Algeria",245
"390","2021-01-24","Northern Africa","Algeria",227
